id,user_id,status,total
4,1,processing,2089.45
5,1,processing,768.47
6,1,processing,768.47
7,1,processing,218.99
8,1,processing,209.48
9,1,processing,579.47
15,18,processing,2469.96
16,16,processing,648.48
17,16,processing,889.47
18,16,processing,549.48
19,18,processing,3372.95
20,16,processing,2159.97
21,16,processing,119.99
22,18,processing,218.99
23,20,processing,1389.48
24,21,processing,949.46
25,16,processing,549.48
26,16,processing,119.99
27,22,processing,1559.46
28,16,processing,4522.89
29,16,processing,388.97
30,16,processing,218.99
31,23,processing,768.47
32,23,processing,2584.46
33,24,processing,1608.47
34,24,processing,1518.98
35,24,processing,2105.46
